Booking Date,Value Date,Reference,Description,Debit,Credit,Balance
30 JUL 22,01 AUG 22,403400000000000-,Debit Interest,"2,626,928.00",0.00,"-184,567,881.28"
31 AUG 22,01 SEP 22,403400000000000-,Debit Interest,"2,664,857.00",0.00,"-187,232,738.28"
08 SEP 22,08 SEP 22,FT22251QWJ6U,CUSTOMER TWO,0.00,"2,625,000.00","-184,607,738.28"
23 SEP 22,23 SEP 22,FT22266QQ39Z,INSURER ONE,0.00,"461,525,000.00","276,917,261.72"
23 SEP 22,23 SEP 22,PDLD1736243421,PD Interest Debit,"145,445.00",0.00,"276,771,816.72"
23 SEP 22,23 SEP 22,PDLD1736243421,PD Charge Debit,"1,344,636.00",0.00,"275,427,180.72"
23 SEP 22,23 SEP 22,PDLD1736243421,PD Principal Debit,"11,059,849.00",0.00,"264,367,331.72"
23 SEP 22,23 SEP 22,PDLD1924267675,PD Penalty Interest Debit,"2,462.00",0.00,"264,364,869.72"
23 SEP 22,23 SEP 22,PDLD1924267675,PD Charge Debit,"629,332.00",0.00,"263,735,537.72"
23 SEP 22,23 SEP 22,PDLD1924267675,PD Charge Debit,"1,732,343.00",0.00,"262,003,194.72"
23 SEP 22,23 SEP 22,PDLD1924267675,PD Interest Debit,"2,393,572.00",0.00,"259,609,622.72"
23 SEP 22,23 SEP 22,PDLD1924267675,PD Principal Debit,"20,073,972.00",0.00,"239,535,650.72"
24 SEP 22,24 SEP 22,SMELCY.,SME MANAGEMENT FEE,"3,000.00",0.00,"239,532,650.72"
24 SEP 22,24 SEP 22,SMELCY.,SME MANAGEMENT FEE,"3,000.00",0.00,"239,529,650.72"
24 SEP 22,24 SEP 22,SMELCY.,SME MANAGEMENT FEE,"3,000.00",0.00,"239,526,650.72"
24 SEP 22,24 SEP 22,SMELCY.,SME MANAGEMENT FEE,"3,000.00",0.00,"239,523,650.72"
26 SEP 22,26 SEP 22,FT22269LKTTL,BETA COMPANY FT FROM BETA,0.00,"74,270,000.00","313,793,650.72"
26 SEP 22,26 SEP 22,FT2226930D89,AC-408100000001,500.00,0.00,"313,793,150.72"
26 SEP 22,26 SEP 22,FT2226930D89,CUSTOMER THREE FT FROM ACME,"74,270,000.00",0.00,"239,523,150.72"
28 SEP 22,28 SEP 22,LD1924267675,Payment of Principal,"316,148.72",0.00,"239,207,002.00"
28 SEP 22,28 SEP 22,LD1924267675,Reimbursement of Interest,"437,202.00",0.00,"238,769,800.00"
