Booking Date,Value Date,Reference,Description,Debit,Credit,Balance
01/05/2025,01/05/2025,FT25121BYH6L,MM 20140000001 250788000001,"-50,000.00",,"1,060,776.00"
01/05/2025,01/05/2025,CHG251211RVZ5,,-20.00,,"1,060,756.00"
03/05/2025,03/05/2025,FT251235IR3F,MM 20140000002 250788000002,"-70,000.00",,"990,756.00"
03/05/2025,03/05/2025,CHG251234GMXS,,-20.00,,"990,736.00"
07/05/2025,07/05/2025,FT25127Z5WBA,MM 20140000003 250788000002,"-60,000.00",,"930,736.00"
07/05/2025,07/05/2025,CHG251270G98F,,-20.00,,"930,716.00"
07/05/2025,07/05/2025,FT25127K4V96,ACME TRADING LTD,,"1,064,000.00","1,994,716.00"
07/05/2025,07/05/2025,CHG25127Z2ORG,,-20.00,,"1,994,696.00"
07/05/2025,07/05/2025,FT25127M9GAV,MM 20140000004 250788000003,"-125,000.00",,"1,869,696.00"
07/05/2025,07/05/2025,CHG25127XF077,,-20.00,,"1,869,676.00"
07/05/2025,07/05/2025,FT251276K02U,MM 20140000005 250788000004,"-200,000.00",,"1,669,676.00"
07/05/2025,07/05/2025,CHG25127XQEX6,,-20.00,,"1,669,656.00"
09/05/2025,09/05/2025,FT25129RXBX3,MM 20140000006 250788000005,"-80,000.00",,"1,589,656.00"
09/05/2025,09/05/2025,CHG251296LIWS,,-20.00,,"1,589,636.00"
21/05/2025,21/05/2025,FT25141NOO24,MM 20140000007 250788000002,"-65,000.00",,"1,524,636.00"
21/05/2025,21/05/2025,CHG25141F1JLH,,-20.00,,"1,524,616.00"
21/05/2025,21/05/2025,FT25141V00JQ,MM 20140000008 250788000002,"-10,000.00",,"1,514,616.00"
21/05/2025,21/05/2025,CHG25141HQZ9R,,-20.00,,"1,514,596.00"
21/05/2025,21/05/2025,FT25141CH9GD,MM 20140000009 250788000002,"-800,000.00",,"714,596.00"
21/05/2025,21/05/2025,CHG25141D1ZQP,,-20.00,,"714,576.00"
21/05/2025,21/05/2025,FT25141N4KCV,MM 20140000010 250788000002,"-70,000.00",,"644,576.00"
21/05/2025,21/05/2025,CHG251416P5ZL,,-20.00,,"644,556.00"
23/05/2025,23/05/2025,FT25143SLJF6,MM 20140000011 250788000005,"-200,000.00",,"444,556.00"
23/05/2025,23/05/2025,CHG25143JXJDH,,-20.00,,"444,536.00"
26/05/2025,26/05/2025,FT25146V6EBS,MM 20140000012 250788000005,"-60,000.00",,"384,536.00"
26/05/2025,26/05/2025,CHG25146M55KY,,-20.00,,"384,516.00"
28/05/2025,28/05/2025,FT2514828H0A,TRANSFER,,"2,310,000.00","2,694,516.00"
28/05/2025,28/05/2025,CHG25148UGAET,,-20.00,,"2,694,496.00"
28/05/2025,28/05/2025,FT25148G67VU,MM 20140000013 250788000003,"-206,000.00",,"2,488,496.00"
28/05/2025,28/05/2025,CHG25148M36CY,,-20.00,,"2,488,476.00"
31/05/2025,31/05/2025,FT25151UA7X1,MM 20140000014 250788000005,"-80,000.00",,"2,408,476.00"
31/05/2025,31/05/2025,CHG25151DDGWG,,-20.00,,"2,408,456.00"
